trial,rmse,r2,lr,hidden,num_layers,dropout,batch_size,early_stop
1,172.54908763920113,0.665237921645993,0.00010219672200048686,192,1,0.12798935201890826,32,15
2,172.55491014626946,0.6652153288003249,0.0007945403493101539,64,1,0.30565100357383135,32,15
4,172.84284826982517,0.664097102749123,0.0029952518509460983,32,1,0.20764011436245355,64,20
0,172.9791318617312,0.6635671866845768,0.0039025449598020577,32,3,0.2398964882774144,64,15
3,173.09566080645675,0.6631137520372645,0.0006491400250865118,96,3,0.336313317217476,32,20
26,173.4063854966318,0.6619031748424229,0.0010174821809270423,32,3,0.29169603614098527,256,15
