num_layers,hidden_size,n_params,epochs_run,best_val_loss,RMSE_all,RMSE_day,R2_day,SkillScore,elapsed_s
3,64,268172,34,0.018211,171.448589,231.639814,0.470309,-0.316366,1017.800000
3,128,994956,35,0.018389,170.255749,230.028198,0.477654,-0.298112,2594.700000
3,256,3824780,33,0.018206,171.887087,232.232258,0.467596,-0.323108,8460.400000
5,64,466828,35,0.018281,170.151311,229.887095,0.478295,-0.296520,1598.400000
5,128,1785484,35,0.018290,172.040246,232.439186,0.466647,-0.325467,24257.100000
5,256,6978700,35,0.018918,171.505156,231.716240,0.469960,-0.317234,20764.800000
7,64,665484,35,0.019011,172.123205,232.551271,0.466133,-0.326745,2957.200000
7,128,2576012,35,0.018033,169.550694,229.075616,0.481971,-0.287383,9610.600000
